# function=Пилообразная f(x)=x N=20 FFT_points=512
x,f_x,fourier_sum,ifft_restored,error_fourier,error_ifft
-0.44700016,-0.14228457,-0.13825907,-0.14395979,0.00402550,0.00167523
-0.43440860,-0.13827655,-0.13046316,-0.13995961,0.00781339,0.00168305
-0.42181705,-0.13426854,-0.12319509,-0.13595942,0.01107345,0.00169088
-0.40922550,-0.13026052,-0.11666901,-0.13195923,0.01359151,0.00169871
-0.39663394,-0.12625251,-0.11104948,-0.12795904,0.01520302,0.00170654
-0.38404239,-0.12224449,-0.10644077,-0.12395886,0.01580372,0.00171437
-0.37145083,-0.11823647,-0.10288008,-0.11995867,0.01535640,0.00172219
-0.35885928,-0.11422846,-0.10033530,-0.11595848,0.01389315,0.00173002
-0.34626773,-0.11022044,-0.09870731,-0.11195829,0.01151314,0.00173785
-0.33367617,-0.10621242,-0.09783659,-0.10795810,0.00837583,0.00174568
-0.32108462,-0.10220441,-0.09751399,-0.10395792,0.00469042,0.00175351
-0.30849307,-0.09819639,-0.09749456,-0.09995773,0.00070183,0.00176134
-0.29590151,-0.09418838,-0.09751383,-0.09595754,0.00332545,0.00176916
-0.28330996,-0.09018036,-0.09730527,-0.09195735,0.00712491,0.00177699
-0.27071841,-0.08617234,-0.09661794,-0.08795716,0.01044560,0.00178482
-0.25812685,-0.08216433,-0.09523296,-0.08395698,0.01306863,0.00179265
-0.24553530,-0.07815631,-0.09297793,-0.07995679,0.01482162,0.00180048
-0.23294374,-0.07414830,-0.08973825,-0.07595660,0.01558995,0.00180830
-0.22035219,-0.07014028,-0.08546457,-0.07195641,0.01532429,0.00181613
-0.20776064,-0.06613226,-0.08017594,-0.06795622,0.01404367,0.00182396
-0.19516908,-0.06212425,-0.07395849,-0.06395604,0.01183424,0.00183179
-0.18257753,-0.05811623,-0.06695961,-0.05995585,0.00884338,0.00183962
-0.16998598,-0.05410822,-0.05937819,-0.05595566,0.00526998,0.00184744
-0.15739442,-0.05010020,-0.05145138,-0.05195547,0.00135118,0.00185527
-0.14480287,-0.04609218,-0.04343892,-0.04795529,0.00265326,0.00186310
-0.13221131,-0.04208417,-0.03560594,-0.04395510,0.00647823,0.00187093
-0.11961976,-0.03807615,-0.02820547,-0.03995491,0.00987068,0.00187876
-0.10702821,-0.03406814,-0.02146175,-0.03595472,0.01260639,0.00188659
-0.09443665,-0.03006012,-0.01555539,-0.03195453,0.01450473,0.00189441
